Using device: cuda
Episode: 0/10000, time: 107, truncated: False, cumulative reward: -270.9858529034912
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 1/10000, time: 70, truncated: False, cumulative reward: -349.8071897123361
Episode: 2/10000, time: 109, truncated: False, cumulative reward: -57.45798549827926
Episode: 3/10000, time: 54, truncated: False, cumulative reward: -91.49800002961001
Episode: 4/10000, time: 79, truncated: False, cumulative reward: -31.822324470757806
Episode: 5/10000, time: 70, truncated: False, cumulative reward: -216.098084721771
Episode: 6/10000, time: 108, truncated: False, cumulative reward: -93.57506394139429
Episode: 7/10000, time: 182, truncated: False, cumulative reward: -116.12748622541119
Episode: 8/10000, time: 101, truncated: False, cumulative reward: -354.3875311013645
Episode: 9/10000, time: 68, truncated: False, cumulative reward: -113.8741274311455
Episode: 10/10000, time: 156, truncated: False, cumulative reward: -116.34674696533482
Episode: 11/10000, time: 67, truncated: False, cumulative reward: -141.38889607668665
Episode: 12/10000, time: 195, truncated: False, cumulative reward: -392.0216490895177
Episode: 13/10000, time: 115, truncated: False, cumulative reward: -176.26428753634886
Episode: 14/10000, time: 127, truncated: False, cumulative reward: -90.04134947765931
Episode: 15/10000, time: 172, truncated: False, cumulative reward: -71.86072971604891
Episode: 17/10000, time: 195, truncated: False, cumulative reward: -182.88752903638053
Episode: 18/10000, time: 156, truncated: False, cumulative reward: -74.11297880368434
Episode: 19/10000, time: 140, truncated: False, cumulative reward: -154.3267543077321
Episode: 20/10000, time: 153, truncated: False, cumulative reward: -158.78392888946658
Episode: 21/10000, time: 69, truncated: False, cumulative reward: -139.95949961530806
Episode: 22/10000, time: 109, truncated: False, cumulative reward: -205.86496138878783
Episode: 23/10000, time: 92, truncated: False, cumulative reward: -89.42975347182283
Episode: 24/10000, time: 138, truncated: False, cumulative reward: -295.3974533229484
Episode: 25/10000, time: 92, truncated: False, cumulative reward: -483.94772969874384
Episode: 26/10000, time: 171, truncated: False, cumulative reward: -122.49639587934524
Episode: 27/10000, time: 155, truncated: False, cumulative reward: -310.3375948351453
Episode: 28/10000, time: 148, truncated: False, cumulative reward: -207.28677857236175
Episode: 29/10000, time: 84, truncated: False, cumulative reward: -191.5964184999473
Episode: 30/10000, time: 128, truncated: False, cumulative reward: -55.79942275303573
Episode: 31/10000, time: 90, truncated: False, cumulative reward: -199.53212267772878
Episode: 32/10000, time: 139, truncated: False, cumulative reward: -96.01732111268026
Episode: 33/10000, time: 136, truncated: False, cumulative reward: -137.54244323755898
Episode: 64/10000, time: 295, truncated: False, cumulative reward: -290.58740531276067
Episode: 65/10000, time: 297, truncated: False, cumulative reward: -18.33971903514778
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 144/10000, time: 174, truncated: False, cumulative reward: -91.03187142836921
Episode: 152/10000, time: 190, truncated: False, cumulative reward: -158.32918330680172
Episode: 154/10000, time: 223, truncated: False, cumulative reward: -20.944083285514523
Episode: 176/10000, time: 171, truncated: False, cumulative reward: -80.25151204500865
Episode: 179/10000, time: 153, truncated: False, cumulative reward: -76.035417405364
Episode: 180/10000, time: 165, truncated: False, cumulative reward: -134.18316080476058
Episode: 183/10000, time: 202, truncated: False, cumulative reward: -96.89350024194341
Episode: 184/10000, time: 211, truncated: False, cumulative reward: -69.50448574071082
Episode: 185/10000, time: 190, truncated: False, cumulative reward: -60.33594135916064
Episode: 187/10000, time: 93, truncated: False, cumulative reward: -16.68191481003059
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 202/10000, time: 291, truncated: False, cumulative reward: -133.55093693945417
Episode: 211/10000, time: 109, truncated: False, cumulative reward: 36.8828481061216
Episode: 217/10000, time: 123, truncated: False, cumulative reward: -433.52372837560057
Episode: 227/10000, time: 157, truncated: False, cumulative reward: -203.50311274743513
Episode: 228/10000, time: 104, truncated: False, cumulative reward: -241.71128627627516
Episode: 230/10000, time: 114, truncated: False, cumulative reward: -209.87631346298042
Episode: 231/10000, time: 119, truncated: False, cumulative reward: -178.14261896937006
Episode: 235/10000, time: 157, truncated: False, cumulative reward: -241.2759858126377
Episode: 236/10000, time: 160, truncated: False, cumulative reward: -201.90474081693003
Episode: 241/10000, time: 196, truncated: False, cumulative reward: -179.74641170869566
Episode: 246/10000, time: 147, truncated: False, cumulative reward: -160.29607679858424
Episode: 248/10000, time: 139, truncated: False, cumulative reward: -54.69875563542445
Episode: 249/10000, time: 181, truncated: False, cumulative reward: -142.6467427732816
Episode: 250/10000, time: 154, truncated: False, cumulative reward: -188.98761888860778
Episode: 267/10000, time: 78, truncated: False, cumulative reward: -10.022490054061421
Episode: 277/10000, time: 186, truncated: False, cumulative reward: -102.15730260524265
Episode: 280/10000, time: 200, truncated: False, cumulative reward: -72.13443658874493
Episode: 282/10000, time: 190, truncated: False, cumulative reward: -85.21847899214056
Episode: 285/10000, time: 159, truncated: False, cumulative reward: -100.98609516063073
Episode: 288/10000, time: 136, truncated: False, cumulative reward: -151.10695409223334
Episode: 297/10000, time: 148, truncated: False, cumulative reward: -93.25081988689018
Episode: 298/10000, time: 229, truncated: False, cumulative reward: -113.25108456097365
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 301/10000, time: 129, truncated: False, cumulative reward: -92.69019566907022
Episode: 306/10000, time: 136, truncated: False, cumulative reward: -113.24373148621632
Episode: 310/10000, time: 163, truncated: False, cumulative reward: -137.34260355315348
Episode: 313/10000, time: 233, truncated: False, cumulative reward: -116.09798675142902
Episode: 315/10000, time: 223, truncated: False, cumulative reward: -190.2545811666377
Episode: 317/10000, time: 243, truncated: False, cumulative reward: -119.57616466692447
