
Episode: 0/5000, score: 77, cumulative reward: -108.65190419869698
Episode: 1/5000, score: 94, cumulative reward: -415.28626324201
Episode: 2/5000, score: 96, cumulative reward: -99.79727403857504
Episode: 3/5000, score: 98, cumulative reward: 2.2038013219719943
Episode: 4/5000, score: 157, cumulative reward: -871.1259320685986
Episode: 5/5000, score: 65, cumulative reward: -629.3232170774456
Episode: 6/5000, score: 87, cumulative reward: -224.79229244201832
Episode: 7/5000, score: 52, cumulative reward: -323.1744514023438
Episode: 8/5000, score: 52, cumulative reward: -354.53073923830493
Episode: 9/5000, score: 77, cumulative reward: -481.8557904794526
Episode: 10/5000, score: 91, cumulative reward: -503.91334546613456
Episode: 11/5000, score: 75, cumulative reward: -284.2686434440078
Episode: 12/5000, score: 83, cumulative reward: -673.2916058840559
Episode: 13/5000, score: 118, cumulative reward: -698.6326382048697
Episode: 14/5000, score: 67, cumulative reward: -471.4632991144427
Episode: 15/5000, score: 86, cumulative reward: -141.07408621890528
Episode: 16/5000, score: 69, cumulative reward: -695.1371273749637
Episode: 17/5000, score: 116, cumulative reward: -577.907385465941
Episode: 18/5000, score: 80, cumulative reward: -368.3987456411053
Episode: 19/5000, score: 97, cumulative reward: -626.4405020604652
Episode: 20/5000, score: 57, cumulative reward: -540.0231813572523
Episode: 21/5000, score: 80, cumulative reward: -672.4050174589042
Episode: 22/5000, score: 85, cumulative reward: -593.232535559034
Episode: 23/5000, score: 84, cumulative reward: -625.244585131825
Episode: 24/5000, score: 124, cumulative reward: -613.2036946565678
Episode: 25/5000, score: 85, cumulative reward: -704.9466772350436
Episode: 26/5000, score: 74, cumulative reward: -146.11378528929276
Episode: 27/5000, score: 94, cumulative reward: -153.13586801551193
Episode: 28/5000, score: 108, cumulative reward: -605.3891211723135
Episode: 29/5000, score: 93, cumulative reward: -720.5131695042018
Episode: 30/5000, score: 101, cumulative reward: -757.2466990686602
Episode: 31/5000, score: 104, cumulative reward: -386.873951188581
Episode: 32/5000, score: 81, cumulative reward: -479.51953581130203
Episode: 33/5000, score: 146, cumulative reward: -470.5820477269962
Episode: 34/5000, score: 126, cumulative reward: -675.9582557483485
Episode: 35/5000, score: 79, cumulative reward: -555.0370113270703
Episode: 36/5000, score: 62, cumulative reward: -593.8050556368794
Episode: 37/5000, score: 76, cumulative reward: -400.9389194492432
Episode: 38/5000, score: 130, cumulative reward: -1094.823329480581
Episode: 39/5000, score: 60, cumulative reward: -564.057454164446
Episode: 40/5000, score: 62, cumulative reward: -552.3625906931829
Episode: 41/5000, score: 64, cumulative reward: -491.93726077757935
Episode: 42/5000, score: 80, cumulative reward: -567.0742286448873
Episode: 43/5000, score: 57, cumulative reward: -519.3366679811093
Episode: 44/5000, score: 53, cumulative reward: -357.55794212413224
Episode: 45/5000, score: 50, cumulative reward: -380.892978334866
Episode: 46/5000, score: 62, cumulative reward: -566.7474541923168
Episode: 47/5000, score: 71, cumulative reward: -448.18883139056345
Episode: 48/5000, score: 71, cumulative reward: -561.5315048267048
Episode: 49/5000, score: 61, cumulative reward: -532.9796000854456
Episode: 50/5000, score: 65, cumulative reward: -620.436231515745
Episode: 51/5000, score: 75, cumulative reward: -696.2444719016148
Episode: 52/5000, score: 61, cumulative reward: -496.1244883860914
Episode: 53/5000, score: 77, cumulative reward: -501.70471404773633
Episode: 54/5000, score: 64, cumulative reward: -609.2939279157179
Episode: 55/5000, score: 56, cumulative reward: -466.1685231498983
Episode: 56/5000, score: 67, cumulative reward: -434.500196977429
Episode: 57/5000, score: 54, cumulative reward: -471.09489783423743
Episode: 58/5000, score: 78, cumulative reward: -707.0058807066573
Episode: 59/5000, score: 56, cumulative reward: -501.0282261944923
Episode: 60/5000, score: 79, cumulative reward: -226.14598730150868
Episode: 61/5000, score: 74, cumulative reward: -688.1327127616122
Episode: 62/5000, score: 73, cumulative reward: -691.2947933358017
Episode: 63/5000, score: 72, cumulative reward: -747.0481364302416
Episode: 64/5000, score: 96, cumulative reward: -566.0394224559319
Episode: 65/5000, score: 171, cumulative reward: -990.3556952032399
Episode: 66/5000, score: 61, cumulative reward: -617.9428401828285
Episode: 67/5000, score: 57, cumulative reward: -511.80797024411066
Episode: 68/5000, score: 96, cumulative reward: -338.334366649207
Episode: 69/5000, score: 67, cumulative reward: -546.6272127102727
Episode: 70/5000, score: 65, cumulative reward: -489.7477135766337
Episode: 71/5000, score: 52, cumulative reward: -454.38313534965386
Episode: 72/5000, score: 100, cumulative reward: -889.9615808190985
Episode: 73/5000, score: 61, cumulative reward: -523.3732366256363
Episode: 74/5000, score: 76, cumulative reward: -513.8312134575772
Episode: 75/5000, score: 90, cumulative reward: -357.8861577063417
Episode: 76/5000, score: 74, cumulative reward: -710.4188921501782
Episode: 77/5000, score: 67, cumulative reward: -543.5380904840449
Episode: 78/5000, score: 62, cumulative reward: -563.9025540109296
Episode: 79/5000, score: 79, cumulative reward: -799.8247939620724
Episode: 80/5000, score: 50, cumulative reward: -439.2961047217209
Episode: 81/5000, score: 105, cumulative reward: -746.2032623154205
Episode: 82/5000, score: 56, cumulative reward: -464.5474031673688
Episode: 83/5000, score: 69, cumulative reward: -495.06831796412587
Episode: 84/5000, score: 65, cumulative reward: -620.6023998120921
Episode: 85/5000, score: 63, cumulative reward: -486.9862972261948
Episode: 86/5000, score: 92, cumulative reward: -638.8046004338744
Episode: 87/5000, score: 50, cumulative reward: -346.76008437823424
Episode: 88/5000, score: 68, cumulative reward: -631.7854144729441
Episode: 89/5000, score: 51, cumulative reward: -428.6042141140907
Episode: 90/5000, score: 63, cumulative reward: -515.3854711353295
Episode: 91/5000, score: 77, cumulative reward: -332.16410670668677
Episode: 92/5000, score: 76, cumulative reward: -792.1133307122542
Episode: 93/5000, score: 163, cumulative reward: -1301.0561463652527
Episode: 94/5000, score: 116, cumulative reward: -876.3191540157059
Episode: 95/5000, score: 118, cumulative reward: -939.0427543228635
Episode: 96/5000, score: 171, cumulative reward: -1001.8784614283604
Episode: 97/5000, score: 81, cumulative reward: -510.94865318052763
Episode: 98/5000, score: 156, cumulative reward: -1188.7702168464489
Episode: 99/5000, score: 88, cumulative reward: -573.1772343696755
Episode: 100/5000, score: 142, cumulative reward: -843.6138890448668
Episode: 101/5000, score: 66, cumulative reward: -471.9736192038717
Episode: 102/5000, score: 61, cumulative reward: -518.030982520819
Episode: 103/5000, score: 139, cumulative reward: -989.9599514399861
Episode: 104/5000, score: 58, cumulative reward: -496.72625834532585
Episode: 105/5000, score: 93, cumulative reward: -654.3624062764063
Episode: 106/5000, score: 94, cumulative reward: -632.9632956056256
Episode: 107/5000, score: 59, cumulative reward: -473.45575415189575
Episode: 109/5000, score: 57, cumulative reward: -546.4559258109413
Episode: 110/5000, score: 54, cumulative reward: -487.99094075082695
Episode: 111/5000, score: 54, cumulative reward: -517.4460975149964
Episode: 112/5000, score: 82, cumulative reward: -761.6673855051322
Episode: 113/5000, score: 50, cumulative reward: -393.9187854316267
Episode: 114/5000, score: 50, cumulative reward: -424.122403657882
Episode: 115/5000, score: 69, cumulative reward: -524.3625163852603
Episode: 116/5000, score: 71, cumulative reward: -352.00367009206445
Episode: 117/5000, score: 68, cumulative reward: -234.20081010042037
Episode: 118/5000, score: 72, cumulative reward: -732.039411691619
Episode: 119/5000, score: 69, cumulative reward: -484.58287326272455
Episode: 120/5000, score: 56, cumulative reward: -425.25578066783714
Episode: 121/5000, score: 63, cumulative reward: -588.4682176516302
Episode: 122/5000, score: 57, cumulative reward: -501.36167735651395
Episode: 123/5000, score: 58, cumulative reward: -491.27083553470527
Episode: 124/5000, score: 51, cumulative reward: -445.96973095486356
Episode: 125/5000, score: 59, cumulative reward: -545.7967383729354
Episode: 126/5000, score: 84, cumulative reward: -925.1963948745164
Episode: 127/5000, score: 84, cumulative reward: -788.5591441391294
Episode: 128/5000, score: 79, cumulative reward: -825.2464336619205
Episode: 129/5000, score: 77, cumulative reward: -626.1225446756389
Episode: 130/5000, score: 76, cumulative reward: -520.1727283854962
Episode: 131/5000, score: 167, cumulative reward: -1175.523059793688
Episode: 132/5000, score: 129, cumulative reward: -924.7088401796344
Episode: 133/5000, score: 181, cumulative reward: -1009.7080800210696
Episode: 134/5000, score: 116, cumulative reward: -687.4239093113749
Episode: 135/5000, score: 84, cumulative reward: -467.48385554238047
Episode: 136/5000, score: 67, cumulative reward: -678.6406849639034
Episode: 137/5000, score: 77, cumulative reward: -431.3647441220049
Episode: 138/5000, score: 53, cumulative reward: -425.49646105442514
Episode: 139/5000, score: 68, cumulative reward: -363.79630192316176
Episode: 140/5000, score: 83, cumulative reward: -398.47680088873454
Episode: 141/5000, score: 63, cumulative reward: -583.0308668595118
Episode: 142/5000, score: 82, cumulative reward: -684.8692384019002
Episode: 143/5000, score: 51, cumulative reward: -366.3147595299792
Episode: 144/5000, score: 69, cumulative reward: -530.6686106877313
Episode: 145/5000, score: 50, cumulative reward: -402.04862755515654
Episode: 146/5000, score: 78, cumulative reward: -751.0663391503382
Episode: 147/5000, score: 65, cumulative reward: -499.9135808655883
Episode: 148/5000, score: 60, cumulative reward: -554.1272042899948
Episode: 149/5000, score: 81, cumulative reward: -463.42501356325977
Episode: 150/5000, score: 79, cumulative reward: -724.5868589941864
Episode: 151/5000, score: 50, cumulative reward: -445.72967390959116
Episode: 152/5000, score: 82, cumulative reward: -426.66947777786106
Episode: 153/5000, score: 70, cumulative reward: -582.5897870109467
Episode: 154/5000, score: 76, cumulative reward: -464.5862317101466
Episode: 155/5000, score: 50, cumulative reward: -396.8495631410392
Episode: 156/5000, score: 51, cumulative reward: -389.5557295574102
Episode: 157/5000, score: 52, cumulative reward: -434.7417422322557
Episode: 158/5000, score: 59, cumulative reward: -512.9543129324181
Episode: 159/5000, score: 72, cumulative reward: -499.3209230395465
Episode: 160/5000, score: 55, cumulative reward: -496.83536138775827
Episode: 161/5000, score: 57, cumulative reward: -398.7115753050452
Episode: 162/5000, score: 81, cumulative reward: -737.5255094994892
Episode: 163/5000, score: 49, cumulative reward: -421.47663226606284
Episode: 164/5000, score: 59, cumulative reward: -553.8426620909047
Episode: 165/5000, score: 52, cumulative reward: -417.5922455151269
Episode: 166/5000, score: 59, cumulative reward: -434.77573456030024
Episode: 167/5000, score: 80, cumulative reward: -710.6954721007917
Episode: 168/5000, score: 84, cumulative reward: -768.7033509703948
Episode: 169/5000, score: 81, cumulative reward: -746.5341434833804
Episode: 170/5000, score: 157, cumulative reward: -362.88875592406015
Episode: 171/5000, score: 65, cumulative reward: -640.5149943665646
Episode: 172/5000, score: 60, cumulative reward: -460.26670148390065
Episode: 173/5000, score: 58, cumulative reward: -537.9816860083597
Episode: 174/5000, score: 75, cumulative reward: -586.3892782546634
Episode: 175/5000, score: 64, cumulative reward: -530.8122008562503
Episode: 176/5000, score: 86, cumulative reward: -582.0361329093399
Episode: 177/5000, score: 79, cumulative reward: -721.3825864328444
Episode: 178/5000, score: 95, cumulative reward: -731.3322991897279
Episode: 179/5000, score: 103, cumulative reward: -768.8002114258275
Episode: 180/5000, score: 90, cumulative reward: -388.14627398777975
Episode: 181/5000, score: 61, cumulative reward: -341.85563598685445
Episode: 182/5000, score: 52, cumulative reward: -388.54212012040864
Episode: 183/5000, score: 87, cumulative reward: -575.8333690755696
Episode: 184/5000, score: 51, cumulative reward: -321.5210362107256
Episode: 185/5000, score: 80, cumulative reward: -666.77821738291
Episode: 186/5000, score: 69, cumulative reward: -562.4140485827688
Episode: 187/5000, score: 52, cumulative reward: -392.92230143180706
Episode: 188/5000, score: 78, cumulative reward: -598.6513573674451
Episode: 189/5000, score: 56, cumulative reward: -334.16260133837
Episode: 190/5000, score: 63, cumulative reward: -492.9449781499693
Episode: 191/5000, score: 51, cumulative reward: -397.65004314605835
Episode: 192/5000, score: 68, cumulative reward: -467.4809339238757
Episode: 193/5000, score: 60, cumulative reward: -430.35474676245235
Episode: 194/5000, score: 61, cumulative reward: -575.4547443586232
Episode: 195/5000, score: 54, cumulative reward: -325.5463642468786
Episode: 196/5000, score: 69, cumulative reward: -641.7920223218797
Episode: 197/5000, score: 68, cumulative reward: -505.28240435782766
Episode: 198/5000, score: 68, cumulative reward: -588.4428926717983
Episode: 199/5000, score: 56, cumulative reward: -479.9079773151648
Episode: 200/5000, score: 72, cumulative reward: -618.1594438555521
Episode: 201/5000, score: 63, cumulative reward: -590.1841037108904
Episode: 202/5000, score: 53, cumulative reward: -429.01520008811457
Episode: 203/5000, score: 64, cumulative reward: -649.3055173832947
Episode: 204/5000, score: 70, cumulative reward: -685.8573396628029
Episode: 205/5000, score: 73, cumulative reward: -730.497266189985
Episode: 206/5000, score: 76, cumulative reward: -606.6196226952466
Episode: 207/5000, score: 46, cumulative reward: -410.10689317044165
Episode: 208/5000, score: 61, cumulative reward: -499.51886049547994
Episode: 209/5000, score: 69, cumulative reward: -680.0393588274745
Episode: 210/5000, score: 56, cumulative reward: -471.5980162474458
Episode: 211/5000, score: 67, cumulative reward: -538.3336028656197
Episode: 212/5000, score: 55, cumulative reward: -388.0928126852444
Episode: 213/5000, score: 57, cumulative reward: -406.2262759051946
Episode: 214/5000, score: 61, cumulative reward: -503.69499210372777
Episode: 215/5000, score: 61, cumulative reward: -520.6733752409082
Episode: 216/5000, score: 58, cumulative reward: -439.96504705668247
Episode: 217/5000, score: 71, cumulative reward: -523.7028633872895
Episode: 218/5000, score: 57, cumulative reward: -405.37116921547806
Episode: 219/5000, score: 71, cumulative reward: -647.5864280556574
Episode: 220/5000, score: 59, cumulative reward: -452.13832144625286
Episode: 221/5000, score: 62, cumulative reward: -593.6151422246006
Episode: 222/5000, score: 74, cumulative reward: -539.8463065456025
Episode: 223/5000, score: 64, cumulative reward: -486.3811511284918
Episode: 224/5000, score: 68, cumulative reward: -559.8953490557825
Episode: 225/5000, score: 52, cumulative reward: -347.387459492537
Episode: 226/5000, score: 77, cumulative reward: -418.29589896056393
Episode: 227/5000, score: 75, cumulative reward: -611.7388830928794
Episode: 228/5000, score: 62, cumulative reward: -448.01668001690166
Episode: 229/5000, score: 58, cumulative reward: -450.03858039057815
Episode: 230/5000, score: 55, cumulative reward: -534.9455559156743
Episode: 231/5000, score: 71, cumulative reward: -676.2984673233304
Episode: 232/5000, score: 84, cumulative reward: -425.50530360407146
Episode: 233/5000, score: 54, cumulative reward: -404.2183106119979
Episode: 234/5000, score: 71, cumulative reward: -496.20519408756206
Episode: 235/5000, score: 80, cumulative reward: -561.6318100523653
Episode: 236/5000, score: 77, cumulative reward: -544.4139078932849
Episode: 237/5000, score: 70, cumulative reward: -487.49883178216874
Episode: 238/5000, score: 65, cumulative reward: -544.9771897852596
Episode: 239/5000, score: 49, cumulative reward: -357.9140774673348
Episode: 240/5000, score: 80, cumulative reward: -734.5228220968639
Episode: 241/5000, score: 61, cumulative reward: -556.955276542014
Episode: 242/5000, score: 62, cumulative reward: -410.67243863491086
Episode: 243/5000, score: 83, cumulative reward: -521.8918173392212
Episode: 244/5000, score: 74, cumulative reward: -470.1374620155759
Episode: 245/5000, score: 70, cumulative reward: -610.877370296883
Episode: 246/5000, score: 50, cumulative reward: -412.97696743802805
Episode: 247/5000, score: 58, cumulative reward: -486.47645190406115
Episode: 248/5000, score: 60, cumulative reward: -458.525740058052
Episode: 249/5000, score: 73, cumulative reward: -611.7329618747567
Episode: 250/5000, score: 56, cumulative reward: -460.55157229819775
Episode: 251/5000, score: 62, cumulative reward: -485.63331837140095
Episode: 252/5000, score: 71, cumulative reward: -496.6786437937681
Episode: 253/5000, score: 57, cumulative reward: -467.0313113148828
Episode: 254/5000, score: 63, cumulative reward: -477.822290470593
Episode: 255/5000, score: 55, cumulative reward: -459.9348731643539
Episode: 256/5000, score: 51, cumulative reward: -412.6120469068447
Episode: 257/5000, score: 55, cumulative reward: -405.8389162166928
